PI,Phenotype
USB-007_PI266806C,1
USB-009_PI360957,1
USB-010_PI361087,1
USB-011_PI361093,1
USB-012_PI437265D,1
USB-013_PI438335,1
USB-014_PI468908,2
USB-015_PI497964A,NA
USB-016_PI506862,2
USB-017_PI507180,2
USB-018_PI518668,1
USB-020_PI603458A,2
USB-021_PI548171,2
USB-022_PI548193,2
USB-023_PI548313,1
USB-024_PI548325,1
USB-025_PI548360,2
USB-026_PI548364,2
USB-027_PI548402,2
USB-028_PI548447,1
USB-029_PI548452,1
USB-031_PI548490,NA
USB-032_PI548520,1
USB-033_PI548561,1
USB-035_PI549018,2
USB-036_PI549026,2
USB-037_PI549041A,1
USB-038_PI559932,2
USB-039_PI567171,2
USB-040_PI567426,1
USB-041_PI567558,2
USB-042_PI567604A,2
USB-043_PI578309,1
USB-044_PI578495,2
USB-045_PI592523,1
USB-046_PI592954,1
USB-047_PI594307,1
USB-048_PI597476,1
USB-049_PI603426G,1
USB-050_PI603442,1
USB-052_PI088788,NA
USB-053_PI089772,NA
USB-054_PI090763,NA
USB-055_PI209332,1
USB-057_PI548316,2
USB-058_PI548658,1
USB-059_FC029333,NA
USB-060_FC031697,NA
USB-061_PI054591,NA
USB-062_PI054608_1,NA
USB-063_PI054614,NA
USB-064_PI054615_1,NA
USB-065_PI058955,NA
USB-066_PI062203,NA
USB-067_PI068521_1,NA
USB-068_PI068604_1,NA
USB-069_PI068732_1,NA
USB-070_PI070080,NA
USB-071_PI070466_3,NA
USB-072_PI071465,NA
USB-073_PI080837,NA
USB-074_PI081041,NA
USB-075_PI083881,NA
USB-076_PI083942,NA
USB-077_PI084631,NA
USB-078_PI084637,NA
USB-079_PI084656,NA
USB-080_PI084946_2,NA
USB-081_PI084973,NA
USB-084_PI086904,NA
USB-085_PI086972_2,NA
USB-086_PI087620,NA
USB-087_PI088313,NA
USB-088_PI088468,NA
USB-089_PI089005_5,NA
USB-090_PI089775,NA
USB-091_PI090479P,NA
USB-093_PI091100_3,NA
USB-094_PI091159_4,NA
USB-095_PI091160,NA
USB-096_PI092651,NA
USB-097_PI094159_3,NA
USB-098_PI095860,NA
USB-100_PI103088,2
USB-101_PI123440,1
USB-102_PI153231,1
USB-104_PI154189,2
USB-106_PI159925,2
USB-107_PI165563,1
USB-108_PI165675,1
USB-109_PI171428,1
USB-110_PI171451,2
USB-112_PI179935,2
USB-113_PI189873,2
USB-115_PI209333,2
USB-116_PI209334,1
USB-117_PI232992,1
USB-119_PI253661B,2
USB-120_PI261272C,NA
USB-121_PI274453,1
USB-122_PI291294,1
USB-123_PI291309D,1
USB-124_PI291310C,2
USB-125_PI297505,2
USB-126_PI297520,1
USB-127_PI324924,1
USB-128_PI342434,1
USB-129_PI342619A,1
USB-131_PI361066B,1
USB-132_PI361070,2
USB-133_PI361080,1
USB-134_PI372403B,1
USB-135_PI372418,1
USB-136_PI374207,NA
USB-139_PI378658,2
USB-140_PI378663,1
USB-141_PI378680E,1
USB-143_PI379618,1
USB-144_PI391577,1
USB-145_PI391583,2
USB-146_PI398633,1
USB-147_PI398965,2
USB-148_PI404187,1
USB-149_PI407701,2
USB-150_PI407708A,1
USB-151_PI407742,2
USB-152_PI416751,2
USB-153_PI416838,2
USB-154_PI417215,1
USB-155_PI417242,1
USB-156_PI417345B,1
USB-157_PI417381,1
USB-158_PI417479,1
USB-159_PI417500,1
USB-160_PI417529,1
USB-161_PI417581,2
USB-162_PI423926,1
USB-163_PI424038B,1
USB-164_PI424078,1
USB-166_PI424195A,1
USB-167_PI430595,1
USB-168_PI436684,1
USB-169_PI437110A,1
USB-170_PI437112A,2
USB-171_PI437127A,2
USB-173_PI437160,2
USB-174_PI437165A,2
USB-175_PI437240,1
USB-177_PI437376A,2
USB-178_PI437485,1
USB-179_PI437500A,1
USB-180_PI437505,2
USB-182_PI437662,1
USB-183_PI437685D,2
USB-184_PI437695A,1
USB-185_PI437776,1
USB-186_PI437788A,1
USB-187_PI437793,2
USB-188_PI437814A,1
USB-189_PI437838,2
USB-192_PI437991B,2
USB-193_PI438019B,1
USB-195_PI438083,1
USB-196_PI438112B,1
USB-198_PI438230A,1
USB-199_PI438239B,1
USB-201_PI438309,1
USB-202_PI438323,1
USB-203_PI438336,1
USB-204_PI438347,2
USB-206_PI438496B,1
USB-207_PI438496C,1
USB-208_PI438500,1
USB-209_PI445824A,1
USB-210_PI458505,1
USB-212_PI458510,2
USB-213_PI464896,1
USB-214_PI464912,2
USB-215_PI464923,2
USB-216_PI467347,1
USB-217_PI468408B,2
USB-218_PI475820,1
USB-220_PI476352B,1
USB-221_PI479735,1
USB-222_PI490766,2
USB-223_PI495020,1
USB-224_PI497953,1
USB-226_PI497967,1
USB-227_PI504288,NA
USB-228_PI506933,1
USB-229_PI506942,2
USB-230_PI507017,1
USB-232_PI507088,1
USB-233_PI507293B,1
USB-234_PI507458,2
USB-235_PI507467,2
USB-236_PI507471,1
USB-238_PI507480,2
USB-240_PI514671,1
USB-241_PI518727,1
USB-242_PI532463B,2
USB-245_PI538386A,2
USB-248_PI542972,2
USB-249_PI548162,2
USB-250_PI548169,1
USB-251_PI548178,2
USB-252_PI548198,1
USB-253_PI548200,2
USB-254_PI548256,2
USB-255_PI548336,1
USB-256_PI548356,1
USB-257_PI548359,1
USB-258_PI548383,1
USB-259_PI548400,1
USB-260_PI548411,2
USB-261_PI548427,1
USB-262_PI548473,1
USB-263_PI548474,1
USB-264_PI548479,1
USB-265_PI548521,2
USB-266_PI548524,2
USB-268_PI548571,2
USB-269_PI548572,1
USB-270_PI548582,1
USB-271_PI548619,2
USB-272_PI548633,2
USB-274_PI548696,2
USB-276_PI548978,1
USB-277_PI549017,2
USB-278_PI549021A,1
USB-279_PI549028,1
USB-281_PI549040,1
USB-282_PI556511,1
USB-283_PI561318A,2
USB-284_PI561371,2
USB-285_PI561387,2
USB-286_PI561389B,1
USB-287_PI561701,2
USB-290_PI567074B,NA
USB-291_PI567173,1
USB-293_PI567225,1
USB-294_PI567226,1
USB-295_PI567231,1
USB-296_PI567238,NA
USB-297_PI567262A,1
USB-298_PI567307,1
USB-300_PI567343,1
USB-301_PI567346,1
USB-302_PI567352A,2
USB-303_PI567353,1
USB-304_PI567361,2
USB-305_PI567383,2
USB-306_PI567407,2
USB-307_PI567408,2
USB-308_PI567410B,2
USB-309_PI567415A,1
USB-310_PI567416,1
USB-311_PI567418A,2
USB-312_PI567428,1
USB-313_PI567435B,2
USB-314_PI567439,1
USB-315_PI567488A,2
USB-316_PI567489A,2
USB-317_PI567525,2
USB-318_PI567532,2
USB-319_PI567548,2
USB-320_PI567576,2
USB-322_PI567675,2
USB-323_PI567685,2
USB-324_PI567698A,2
USB-325_PI567726,1
USB-326_PI567746,2
USB-327_PI567780B,NA
USB-328_PI567782,1
USB-330_PI574477,2
USB-331_PI578375B,1
USB-332_PI578412,2
USB-333_PI578493,2
USB-334_PI578499A,1
USB-335_PI578503,2
USB-336_PI578504,1
USB-338_PI587588A,1
USB-339_PI587588B,2
USB-341_PI587712B,2
USB-342_PI587804,1
USB-343_PI587811A,1
USB-345_PI592937,1
USB-346_PI592940,1
USB-347_PI592952,1
USB-348_PI592960,1
USB-351_PI593953,2
USB-353_PI594170B,1
USB-354_PI594456A,1
USB-357_PI594880,2
USB-358_PI594922,1
USB-361_PI597464,2
USB-362_PI597471A,NA
USB-363_PI597478B,1
USB-364_PI598358,1
USB-366_PI602502B,1
USB-367_PI602993,2
USB-368_PI603162,2
USB-369_PI603290,1
USB-370_PI603345,2
USB-371_PI603389,2
USB-372_PI603397,1
USB-373_PI603399,2
USB-374_PI603463,2
