PI,Pheno
USB-006_PI240664,NA
USB-007_PI266806C,NA
USB-009_PI360957,NA
USB-010_PI361087,2
USB-011_PI361093,2
USB-012_PI437265D,NA
USB-013_PI438335,2
USB-014_PI468908,1
USB-015_PI497964A,NA
USB-016_PI506862,NA
USB-017_PI507180,NA
USB-018_PI518668,NA
USB-020_PI603458A,NA
USB-021_PI548171,NA
USB-022_PI548193,NA
USB-023_PI548313,NA
USB-024_PI548325,NA
USB-025_PI548360,NA
USB-026_PI548364,NA
USB-027_PI548402,NA
USB-028_PI548447,NA
USB-029_PI548452,NA
USB-031_PI548490,2
USB-032_PI548520,2
USB-033_PI548561,2
USB-035_PI549018,NA
USB-036_PI549026,NA
USB-037_PI549041A,NA
USB-038_PI559932,2
USB-039_PI567171,NA
USB-040_PI567426,NA
USB-041_PI567558,NA
USB-042_PI567604A,2
USB-043_PI578309,2
USB-044_PI578495,2
USB-045_PI592523,NA
USB-046_PI592954,2
USB-047_PI594307,NA
USB-048_PI597476,NA
USB-049_PI603426G,NA
USB-050_PI603442,NA
USB-052_PI088788,NA
USB-053_PI089772,NA
USB-054_PI090763,NA
USB-055_PI209332,NA
USB-057_PI548316,NA
USB-058_PI548658,2
USB-059_FC029333,NA
USB-060_FC031697,NA
USB-061_PI054591,NA
USB-062_PI054608_1,NA
USB-063_PI054614,NA
USB-064_PI054615_1,NA
USB-065_PI058955,NA
USB-066_PI062203,NA
USB-067_PI068521_1,NA
USB-068_PI068604_1,NA
USB-069_PI068732_1,NA
USB-070_PI070080,NA
USB-071_PI070466_3,NA
USB-072_PI071465,NA
USB-073_PI080837,NA
USB-074_PI081041,NA
USB-075_PI083881,NA
USB-076_PI083942,NA
USB-077_PI084631,NA
USB-078_PI084637,NA
USB-079_PI084656,NA
USB-080_PI084946_2,NA
USB-081_PI084973,NA
USB-084_PI086904,NA
USB-085_PI086972_2,NA
USB-086_PI087620,NA
USB-087_PI088313,NA
USB-088_PI088468,NA
USB-089_PI089005_5,NA
USB-090_PI089775,NA
USB-091_PI090479P,NA
USB-093_PI091100_3,NA
USB-094_PI091159_4,NA
USB-095_PI091160,NA
USB-096_PI092651,NA
USB-097_PI094159_3,NA
USB-098_PI095860,NA
USB-100_PI103088,NA
USB-101_PI123440,NA
USB-102_PI153231,NA
USB-104_PI154189,NA
USB-106_PI159925,NA
USB-107_PI165563,2
USB-108_PI165675,2
USB-109_PI171428,NA
USB-110_PI171451,NA
USB-112_PI179935,NA
USB-113_PI189873,NA
USB-115_PI209333,NA
USB-116_PI209334,NA
USB-117_PI232992,1
USB-119_PI253661B,NA
USB-120_PI261272C,NA
USB-121_PI274453,NA
USB-122_PI291294,2
USB-123_PI291309D,2
USB-124_PI291310C,2
USB-125_PI297505,2
USB-126_PI297520,NA
USB-127_PI324924,2
USB-128_PI342434,NA
USB-129_PI342619A,1
USB-131_PI361066B,2
USB-132_PI361070,NA
USB-133_PI361080,NA
USB-134_PI372403B,NA
USB-135_PI372418,2
USB-136_PI374207,NA
USB-139_PI378658,NA
USB-140_PI378663,2
USB-141_PI378680E,2
USB-143_PI379618,NA
USB-144_PI391577,2
USB-145_PI391583,2
USB-146_PI398633,NA
USB-147_PI398965,2
USB-148_PI404187,2
USB-149_PI407701,2
USB-150_PI407708A,NA
USB-151_PI407742,NA
USB-152_PI416751,2
USB-153_PI416838,NA
USB-154_PI417215,NA
USB-155_PI417242,NA
USB-156_PI417345B,2
USB-157_PI417381,NA
USB-158_PI417479,NA
USB-159_PI417500,NA
USB-160_PI417529,NA
USB-161_PI417581,NA
USB-162_PI423926,2
USB-163_PI424038B,NA
USB-164_PI424078,NA
USB-166_PI424195A,NA
USB-167_PI430595,NA
USB-168_PI436684,2
USB-169_PI437110A,NA
USB-170_PI437112A,NA
USB-171_PI437127A,2
USB-173_PI437160,2
USB-174_PI437165A,2
USB-175_PI437240,NA
USB-177_PI437376A,2
USB-178_PI437485,NA
USB-179_PI437500A,2
USB-180_PI437505,2
USB-182_PI437662,NA
USB-183_PI437685D,2
USB-184_PI437695A,2
USB-185_PI437776,2
USB-186_PI437788A,2
USB-187_PI437793,2
USB-188_PI437814A,2
USB-189_PI437838,2
USB-192_PI437991B,NA
USB-193_PI438019B,2
USB-195_PI438083,2
USB-196_PI438112B,2
USB-198_PI438230A,2
USB-199_PI438239B,2
USB-201_PI438309,NA
USB-202_PI438323,2
USB-203_PI438336,NA
USB-204_PI438347,NA
USB-206_PI438496B,2
USB-207_PI438496C,NA
USB-208_PI438500,2
USB-209_PI445824A,NA
USB-210_PI458505,2
USB-212_PI458510,2
USB-213_PI464896,NA
USB-214_PI464912,NA
USB-215_PI464923,NA
USB-216_PI467347,NA
USB-217_PI468408B,NA
USB-218_PI475820,NA
USB-220_PI476352B,2
USB-221_PI479735,NA
USB-222_PI490766,NA
USB-223_PI495020,2
USB-224_PI497953,NA
USB-226_PI497967,NA
USB-227_PI504288,NA
USB-228_PI506933,NA
USB-229_PI506942,2
USB-230_PI507017,NA
USB-232_PI507088,NA
USB-233_PI507293B,NA
USB-234_PI507458,NA
USB-235_PI507467,NA
USB-236_PI507471,NA
USB-238_PI507480,NA
USB-240_PI514671,NA
USB-241_PI518727,NA
USB-242_PI532463B,2
USB-245_PI538386A,NA
USB-248_PI542972,NA
USB-249_PI548162,NA
USB-250_PI548169,NA
USB-251_PI548178,NA
USB-252_PI548198,NA
USB-253_PI548200,NA
USB-254_PI548256,NA
USB-255_PI548336,NA
USB-256_PI548356,NA
USB-257_PI548359,NA
USB-258_PI548383,NA
USB-259_PI548400,NA
USB-260_PI548411,NA
USB-261_PI548427,NA
USB-262_PI548473,2
USB-263_PI548474,2
USB-264_PI548479,2
USB-265_PI548521,2
USB-266_PI548524,2
USB-268_PI548571,NA
USB-269_PI548572,NA
USB-270_PI548582,NA
USB-271_PI548619,2
USB-272_PI548633,2
USB-274_PI548696,NA
USB-276_PI548978,NA
USB-277_PI549017,NA
USB-278_PI549021A,NA
USB-279_PI549028,NA
USB-281_PI549040,NA
USB-282_PI556511,NA
USB-283_PI561318A,2
USB-284_PI561371,2
USB-285_PI561387,NA
USB-286_PI561389B,NA
USB-287_PI561701,NA
USB-290_PI567074B,NA
USB-291_PI567173,NA
USB-293_PI567225,NA
USB-294_PI567226,NA
USB-295_PI567231,NA
USB-296_PI567238,NA
USB-297_PI567262A,1
USB-298_PI567307,2
USB-300_PI567343,2
USB-301_PI567346,2
USB-302_PI567352A,2
USB-303_PI567353,2
USB-304_PI567361,2
USB-305_PI567383,NA
USB-306_PI567407,NA
USB-307_PI567408,NA
USB-308_PI567410B,NA
USB-309_PI567415A,2
USB-310_PI567416,2
USB-311_PI567418A,NA
USB-312_PI567428,2
USB-313_PI567435B,NA
USB-314_PI567439,NA
USB-315_PI567488A,NA
USB-316_PI567489A,NA
USB-317_PI567525,NA
USB-318_PI567532,NA
USB-319_PI567548,2
USB-320_PI567576,NA
USB-322_PI567675,2
USB-323_PI567685,2
USB-324_PI567698A,NA
USB-325_PI567726,NA
USB-326_PI567746,2
USB-327_PI567780B,NA
USB-328_PI567782,2
USB-330_PI574477,2
USB-331_PI578375B,2
USB-332_PI578412,2
USB-333_PI578493,NA
USB-334_PI578499A,NA
USB-335_PI578503,NA
USB-336_PI578504,NA
